N,p_gen,p_swap,delta_pct,region
10,0.7,0.7,94.85448487066392,coarse
10,0.7,0.8,71.60973614236039,coarse
10,0.7,0.9,55.914216228167135,coarse
10,0.7,1.0,-4.048070841239714,coarse
10,0.8,0.1,0.0,coarse
10,0.8,0.2,2.4375,coarse
10,0.8,0.3,29.749522661039094,coarse
10,0.8,0.4,70.09982908638905,coarse
10,0.8,0.5,88.91662541052764,coarse
10,0.8,0.6,93.66864045289327,coarse
10,0.8,0.7,66.37824474660074,coarse
10,0.8,0.8,95.62515158864903,coarse
10,0.8,0.9,-1.8050541516245375,coarse
10,0.8,1.0,-20.90103397341213,coarse
10,0.9,0.1,0.0,coarse
10,0.9,0.2,6.0887500000000045,coarse
10,0.9,0.3,34.827995553071084,coarse
10,0.9,0.4,76.43066031452007,coarse
10,0.9,0.5,90.33383730662274,coarse
10,0.9,0.6,94.88108566068564,coarse
10,0.9,0.7,95.86500648399034,coarse
10,0.9,0.8,41.254125412541256,coarse
10,0.9,0.9,1.0995052226498232,coarse
10,0.9,1.0,-26.913580246913575,coarse
10,1.0,0.1,0.28249999999999886,coarse
10,1.0,0.2,3.5493749999999977,coarse
10,1.0,0.3,37.11375,coarse
10,1.0,0.4,78.66173610889732,coarse
10,1.0,0.5,90.9685562706672,coarse
10,1.0,0.6,94.91366308596757,coarse
10,1.0,0.7,59.01955738548635,coarse
10,1.0,0.8,27.779365533009436,coarse
10,1.0,0.9,-22.0125786163522,coarse
10,1.0,1.0,-58.4,coarse
10,0.05,0.75,46.365466531878305,inset
10,0.05,0.78,47.411173173973246,inset
10,0.05,0.81,56.456011761447165,inset
10,0.05,0.84,54.97675725378014,inset
10,0.05,0.87,45.09065863659662,inset
10,0.05,0.9,54.61804631354804,inset
10,0.05,0.93,46.693083413103,inset
10,0.05,0.96,43.337025683299416,inset
10,0.05,0.99,45.746511770852536,inset
10,0.08,0.75,70.53748085955645,inset
10,0.08,0.78,70.75297225891677,inset
10,0.08,0.81,71.23680010494327,inset
10,0.08,0.84,70.61781927053374,inset
10,0.08,0.87,23.76536885245901,inset
10,0.08,0.9,66.00075162687659,inset
10,0.08,0.93,66.32375035013114,inset
10,0.08,0.96,58.73222077878818,inset
10,0.08,0.99,60.21907560780122,inset
10,0.11,0.75,76.54978698699723,inset
10,0.11,0.78,82.52864648255357,inset
10,0.11,0.81,71.0697216532495,inset
10,0.11,0.84,79.44112351458408,inset
10,0.11,0.87,77.06200306233512,inset
10,0.11,0.9,74.00199716680987,inset
10,0.11,0.93,71.73544532444075,inset
10,0.11,0.96,67.85476595430008,inset
10,0.11,0.99,69.34865900383141,inset
10,0.14,0.75,84.4477267814684,inset
10,0.14,0.78,74.80860238630342,inset
10,0.14,0.81,85.59764822066305,inset
10,0.14,0.84,76.77200176898646,inset
10,0.14,0.87,83.86550912301352,inset
10,0.14,0.9,76.72519730194706,inset
10,0.14,0.93,72.96685349467356,inset
10,0.14,0.96,65.8289241622575,inset
10,0.14,0.99,70.87550124116862,inset
10,0.17,0.75,87.36043527887199,inset
10,0.17,0.78,88.46828521842984,inset
10,0.17,0.81,89.87596801611785,inset
10,0.17,0.84,80.93155722999641,inset
10,0.17,0.87,81.8109935652743,inset
10,0.17,0.9,80.27991218441272,inset
10,0.17,0.93,79.9083082522573,inset
10,0.17,0.96,72.26114484405002,inset
10,0.17,0.99,71.39727922527092,inset
10,0.2,0.75,89.63877306691987,inset
10,0.2,0.78,89.93012039041434,inset
10,0.2,0.81,90.44732279899736,inset
10,0.2,0.84,90.0691890223514,inset
10,0.2,0.87,66.05356179977233,inset
10,0.2,0.9,79.09813941771333,inset
10,0.2,0.93,73.69024657248606,inset
10,0.2,0.96,76.58343483556638,inset
10,0.2,0.99,70.48134276598697,inset
10,0.23,0.75,90.43971236533427,inset
10,0.23,0.78,91.29682885123582,inset
10,0.23,0.81,91.43822226083934,inset
10,0.23,0.84,91.66034601076318,inset
10,0.23,0.87,81.8660880347179,inset
10,0.23,0.9,84.599563332595,inset
10,0.23,0.93,59.42463018422723,inset
10,0.23,0.96,72.76906435911303,inset
10,0.23,0.99,72.4181985946483,inset
12,0.1,0.1,0.0,coarse
12,0.1,0.2,0.0,coarse
12,0.1,0.3,0.401875000000004,coarse
12,0.1,0.4,1.004374999999996,coarse
12,0.1,0.5,7.770624999999995,coarse
12,0.1,0.6,24.67430937326053,coarse
12,0.1,0.7,56.58169974721149,coarse
12,0.1,0.8,75.52043369474562,coarse
12,0.1,0.9,75.95424631776872,coarse
12,0.1,1.0,64.55352829697894,coarse
12,0.2,0.1,0.0,coarse
12,0.2,0.2,0.0,coarse
12,0.2,0.3,0.7999999999999973,coarse
12,0.2,0.4,4.466250000000002,coarse
12,0.2,0.5,26.455624999999998,coarse
12,0.2,0.6,63.57800955555274,coarse
12,0.2,0.7,85.40018050305417,coarse
12,0.2,0.8,89.28969028890552,coarse
12,0.2,0.9,82.73889195076504,coarse
12,0.2,1.0,66.37433475751443,coarse
12,0.3,0.1,0.0,coarse
12,0.3,0.2,0.0,coarse
12,0.3,0.3,-0.00628077580142128,coarse
12,0.3,0.4,8.018124999999998,coarse
12,0.3,0.5,42.67,coarse
12,0.3,0.6,77.00193088583397,coarse
12,0.3,0.7,89.17162415451062,coarse
12,0.3,0.8,93.44719602620403,coarse
12,0.3,0.9,78.71941546892275,coarse
12,0.3,1.0,72.86103078754891,coarse
12,0.4,0.1,0.0,coarse
12,0.4,0.2,0.1700000000000017,coarse
12,0.4,0.3,0.4424999999999954,coarse
12,0.4,0.4,16.005426419881807,coarse
12,0.4,0.5,61.365349345526724,coarse
12,0.4,0.6,83.37604760922096,coarse
12,0.4,0.7,92.38650389914311,coarse
12,0.4,0.8,94.55807053644062,coarse
12,0.4,0.9,71.75192394748755,coarse
12,0.4,1.0,48.377065111758995,coarse
12,0.5,0.1,0.0,coarse
12,0.5,0.2,0.0,coarse
12,0.5,0.3,1.9699999999999989,coarse
12,0.5,0.4,24.161874999999995,coarse
12,0.5,0.5,67.05855350402939,coarse
12,0.5,0.6,88.27422733212079,coarse
12,0.5,0.7,93.49958963006469,coarse
12,0.5,0.8,94.98025661378318,coarse
12,0.5,0.9,76.28071186684919,coarse
12,0.5,1.0,63.42164060006383,coarse
12,0.6,0.1,0.0,coarse
12,0.6,0.2,0.0,coarse
12,0.6,0.3,3.476875000000007,coarse
12,0.6,0.4,33.92937499999999,coarse
12,0.6,0.5,74.30991712062011,coarse
12,0.6,0.6,90.1572158942939,coarse
12,0.6,0.7,94.47739777008725,coarse
12,0.6,0.8,95.45874545874547,coarse
12,0.6,0.9,77.35708982925019,coarse
12,0.6,1.0,65.85794094173983,coarse
12,0.7,0.1,0.0,coarse
12,0.7,0.2,0.0,coarse
12,0.7,0.3,10.180625000000006,coarse
12,0.7,0.4,43.679375,coarse
12,0.7,0.5,80.04181060306696,coarse
12,0.7,0.6,91.84472045499011,coarse
12,0.7,0.7,95.1940458039265,coarse
12,0.7,0.8,78.53143702940987,coarse
12,0.7,0.9,74.53503568915251,coarse
12,0.7,1.0,-15.37616694124108,coarse
12,0.8,0.1,0.0,coarse
12,0.8,0.2,0.4612500000000068,coarse
12,0.8,0.3,10.051249999999996,coarse
12,0.8,0.4,52.12625,coarse
12,0.8,0.5,84.39613860328986,coarse
12,0.8,0.6,92.56902647701816,coarse
12,0.8,0.7,95.47127793058175,coarse
12,0.8,0.8,95.8164132590424,coarse
12,0.8,0.9,68.28225231646472,coarse
12,0.8,1.0,-17.619328226281684,coarse
12,0.9,0.1,0.0,coarse
12,0.9,0.2,0.7806250000000006,coarse
12,0.9,0.3,12.89,coarse
12,0.9,0.4,56.298125,coarse
12,0.9,0.5,85.3802481160609,coarse
12,0.9,0.6,92.7998164010557,coarse
12,0.9,0.7,95.52296801878664,coarse
12,0.9,0.8,96.30492446084651,coarse
12,0.9,0.9,51.86493047892298,coarse
12,0.9,1.0,-37.85864240727782,coarse
12,1.0,0.1,0.0,coarse
12,1.0,0.2,0.723124999999996,coarse
12,1.0,0.3,12.449375000000003,coarse
12,1.0,0.4,61.09568734846677,coarse
12,1.0,0.5,87.27337977352397,coarse
12,1.0,0.6,94.34881432981646,coarse
12,1.0,0.7,96.00134465081099,coarse
12,1.0,0.8,55.44351662202616,coarse
12,1.0,0.9,-53.593661573288045,coarse
12,1.0,1.0,-76.24999999999999,coarse
12,0.05,0.75,36.25738468529879,inset
12,0.05,0.78,42.26873991045049,inset
12,0.05,0.81,52.015335362238645,inset
